Name,Common_name,Uniprot_ID,ChEMBL_ID,Class,Probability,Known_Actives,,NA.1
MAP kinase-activated protein kinase 5,MAPKAPK5,Q8IW41,CHEMBL3094,Kinase,0.11150186548,3 /  0     ,NA,NA
Microtubule-associated protein tau,MAPT,P10636,CHEMBL1293224,Unclassified protein,0.0604245879294,5 /  1     ,NA,NA
Microtubule-associated serine/threonine-protein kinase 1,MAST1,Q9Y2H9,CHEMBL1163128,Kinase,0.0822215166115,2 /  0     ,NA,NA
Microtubule-associated serine/threonine-protein kinase 3,MAST3,O60307,CHEMBL2417352,Kinase,0.041891066893,6 /  0     ,NA,NA
Myoglobin,MB,P02144,CHEMBL2406892,Unclassified protein,0.0428942118511,3 /  0     ,NA,NA
Methyl-CpG-binding domain protein 2,MBD2,Q9UBB5,CHEMBL3707462,Reader,0.113285953487,3 /  0     ,NA,NA
Melanin-concentrating hormone receptor 1,MCHR1,Q99705,CHEMBL344,Family A G protein-coupled receptor,0.0822215166115,198 /  0     ,NA,NA
Induced myeloid leukemia cell differentiation protein Mcl-1,MCL1,Q07820,CHEMBL4361,Other cytosolic protein,0.0972399887602,111 /  0     ,NA,NA
p53-binding protein Mdm-2,MDM2,Q00987,CHEMBL5023,Other nuclear protein,0.0604245879294,113 /  0     ,NA,NA
Maternal embryonic leucine zipper kinase,MELK,Q14680,CHEMBL4578,Kinase,0.041891066893,10 /  0     ,NA,NA
Proto-oncogene tyrosine-protein kinase MER,MERTK,Q12866,CHEMBL5331,Kinase,0.041891066893,55 /  0     ,NA,NA
Hepatocyte growth factor receptor,MET,P08581,CHEMBL3717,Kinase,0.0428381527054,244 /  0     ,NA,NA
Methionine aminopeptidase 1,METAP1,P53582,CHEMBL2474,Protease,0.0978745343258,2 /  0     ,NA,NA
Methionine aminopeptidase 2,METAP2,P50579,CHEMBL3922,Protease,0.0428942118511,5 /  0     ,NA,NA
Maltase-glucoamylase,MGAM,O43451,CHEMBL2074,Hydrolase,0.041891066893,0 /  7     ,NA,NA
Monoglyceride lipase,MGLL,Q99685,CHEMBL4191,Enzyme,0.048952897826,8 /  0     ,NA,NA
Macrophage migration inhibitory factor,MIF,P14174,CHEMBL2085,Enzyme,0.033970689612,0 /  6     ,NA,NA
MAP kinase-interacting serine/threonine-protein kinase MNK1,MKNK1,Q9BUB5,CHEMBL4718,Kinase,0.113285953487,24 /  0     ,NA,NA
MAP kinase signal-integrating kinase 2,MKNK2,Q9HBH9,CHEMBL4204,Kinase,0.104671941128,3 /  0     ,NA,NA
Neprilysin,MME,P08473,CHEMBL1944,Protease,0.033970689612,0 /  33     ,NA,NA
Matrix metalloproteinase 1,MMP1,P03956,CHEMBL332,Protease,0.0428381527054,534 /  0     ,NA,NA
Matrix metalloproteinase 10,MMP10,P09238,CHEMBL4270,Protease,0.0428381527054,3 /  0     ,NA,NA
Matrix metalloproteinase 12,MMP12,P39900,CHEMBL4393,Protease,0.0428381527054,23 /  0     ,NA,NA
Matrix metalloproteinase 13,MMP13,P45452,CHEMBL280,Protease,0.0428381527054,449 /  0     ,NA,NA
Matrix metalloproteinase 14,MMP14,P50281,CHEMBL3869,Protease,0.0312265582077,24 /  0     ,NA,NA
Matrix metalloproteinase 16,MMP16,P51512,CHEMBL2200,Protease,0.0978745343258,13 /  0     ,NA,NA
Matrix metalloproteinase 2,MMP2,P08253,CHEMBL333,Protease,0.0428381527054,560 /  0     ,NA,NA
Matrix metalloproteinase 3,MMP3,P08254,CHEMBL283,Protease,0.0312265582077,35 /  0     ,NA,NA
Matrix metalloproteinase 7,MMP7,P09237,CHEMBL4073,Protease,0.0312265582077,12 /  0     ,NA,NA
Matrix metalloproteinase 8,MMP8,P22894,CHEMBL4588,Protease,0.0312265582077,41 /  0     ,NA,NA
Matrix metalloproteinase 9,MMP9,P14780,CHEMBL321,Protease,0.0428381527054,539 /  0     ,NA,NA
DNA-3-methyladenine glycosylase,MPG,P29372,CHEMBL3396943,Enzyme,0.0978745343258,1 /  1     ,NA,NA
Mannose-6-phosphate isomerase,MPI,P34949,CHEMBL2758,Isomerase,0.0428942118511,1 /  0     ,NA,NA
Myeloperoxidase,MPO,P05164,CHEMBL2439,Enzyme,0.0238327432783,0 /  29     ,NA,NA
NADH-ubiquinone oxidoreductase chain 4,MT-ND4,P03905,CHEMBL4499,Oxidoreductase,0.0978745343258,0 /  4     ,NA,NA
Melatonin receptor 1A,MTNR1A,P48039,CHEMBL1945,Family A G protein-coupled receptor,0.0312265582077,0 /  94     ,NA,NA
Melatonin receptor 1B,MTNR1B,P49286,CHEMBL1946,Family A G protein-coupled receptor,0.0312265582077,0 /  32     ,NA,NA
Serine/threonine-protein kinase mTOR,MTOR,P42345,CHEMBL2842,Kinase,0.041891066893,629 /  0     ,NA,NA
"Myosin light chain kinase, smooth muscle",MYLK,Q15746,CHEMBL2428,Kinase,0.100578902067,5 /  0     ,NA,NA
N-acylsphingosine-amidohydrolase   (by homology),NAAA,Q02083,CHEMBL4349,Enzyme,0.0312265582077,6 /  0     ,NA,NA
NEDD8-activating enzyme E1 regulatory subunit,NAE1,Q13564,CHEMBL2016431,Unclassified protein,0.106099949133,0 /  1     ,NA,NA
Nicotinamide phosphoribosyltransferase,NAMPT,P43490,CHEMBL1744525,Enzyme,0.041891066893,36 /  0     ,NA,NA
Serine/threonine-protein kinase Nek1,NEK1,Q96PY6,CHEMBL5855,Kinase,0.109339753231,28 /  0     ,NA,NA
Serine/threonine-protein kinase NEK2,NEK2,P51955,CHEMBL3835,Kinase,0.0428942118511,5 /  0     ,NA,NA
Serine/threonine-protein kinase NEK6,NEK6,Q9HC98,CHEMBL4309,Kinase,0.100578902067,3 /  0     ,NA,NA
Sialidase 2,NEU2,Q9Y3R4,CHEMBL3200,Enzyme,0.100578902067,4 /  0     ,NA,NA
Sialidase 3,NEU3,Q9UQ49,CHEMBL3046,Enzyme,0.0604245879294,6 /  0     ,NA,NA
Sialidase 4,NEU4,Q8WWR8,CHEMBL4174,Enzyme,0.100578902067,4 /  0     ,NA,NA
Nuclear factor erythroid 2-related factor 2,NFE2L2,Q16236,CHEMBL1075094,Unclassified protein,0.0717871625222,0 /  4     ,NA,NA
Nuclear factor NF-kappa-B p105 subunit,NFKB1,P19838,CHEMBL3251,Other cytosolic protein,0.0822880706974,0 /  2     ,NA,NA
Low affinity neurotrophin receptor p75NTR,NGFR,P08138,CHEMBL4762,Membrane receptor,0.0312265582077,2 /  0     ,NA,NA
Nischarin,NISCH,Q9Y2I1,CHEMBL3923,Other cytosolic protein,0.116739032206,3 /  4     ,NA,NA
"NACHT, LRR and PYD domains-containing protein 3",NLRP3,Q96P20,CHEMBL1741208,Unclassified protein,0.101613854776,1 /  0     ,NA,NA
Neuromedin-U receptor 2,NMUR2,Q9GZQ4,CHEMBL1075144,Family A G protein-coupled receptor,0.033970689612,0 /  1     ,NA,NA
"Nitric-oxide synthase, brain",NOS1,P29475,CHEMBL3568,Enzyme,0.0238327432783,0 /  6     ,NA,NA
"Nitric oxide synthase, inducible",NOS2,P35228,CHEMBL4481,Enzyme,0.0238327432783,0 /  11     ,NA,NA
"Nitric-oxide synthase, endothelial",NOS3,P29474,CHEMBL4803,Enzyme,0.0238327432783,0 /  4     ,NA,NA
Neurogenic locus notch homolog protein 1,NOTCH1,P46531,CHEMBL2146346,Unclassified protein,0.100578902067,2 /  0     ,NA,NA
Neurogenic locus notch homolog protein 3,NOTCH3,Q9UM47,CHEMBL3407319,Unclassified protein,0.100578902067,2 /  0     ,NA,NA
Palmitoleoyl-protein carboxylesterase NOTUM,NOTUM,Q6P988,CHEMBL3714531,Hydrolase,0.0312265582077,52 /  0     ,NA,NA
NADPH oxidase 1,NOX1,Q9Y5S8,CHEMBL1287628,Transmembrane 1-electron transfer carriers,0.113285953487,2 /  0     ,NA,NA
NADPH oxidase 4,NOX4,Q9NPH5,CHEMBL1250375,Enzyme,0.0535560755162,13 /  0     ,NA,NA
Niemann-Pick C1-like protein 1,NPC1L1,Q9UHC9,CHEMBL2027,Other membrane protein,0.0414702990123,0 /  5     ,NA,NA
Neuropeptide Y receptor type 5,NPY5R,Q15761,CHEMBL4561,Family A G protein-coupled receptor,0.0604245879294,54 /  0     ,NA,NA
Quinone reductase 2,NQO2,P16083,CHEMBL3959,Enzyme,0.033970689612,0 /  3     ,NA,NA
Nuclear receptor subfamily 0 group B member 2,NR0B2,Q15466,CHEMBL5603,Nuclear receptor,0.0535560755162,1 /  0     ,NA,NA
LXR-beta,NR1H2,P55055,CHEMBL4093,Nuclear receptor,0.0312265582077,0 /  21     ,NA,NA
LXR-alpha,NR1H3,Q13133,CHEMBL2808,Nuclear receptor,0.0312265582077,0 /  22     ,NA,NA
Bile acid receptor FXR,NR1H4,Q96RI1,CHEMBL2047,Nuclear receptor,0.0238327432783,0 /  10     ,NA,NA
Pregnane X receptor,NR1I2,O75469,CHEMBL3401,Nuclear receptor,0.0978745343258,0 /  3     ,NA,NA
Nuclear receptor subfamily 1 group I member 3   (by homology),NR1I3,Q14994,CHEMBL5503,Nuclear receptor,0.0535560755162,0 /  2     ,NA,NA
Glucocorticoid receptor,NR3C1,P04150,CHEMBL2034,Nuclear receptor,0.0428942118511,0 /  2     ,NA,NA
Mineralocorticoid receptor,NR3C2,P08235,CHEMBL1994,Nuclear receptor,0.0535560755162,14 /  23     ,NA,NA
Nuclear receptor subfamily 4 group A member 1,NR4A1,P22736,CHEMBL1293229,Nuclear receptor,0.118277084772,0 /  1     ,NA,NA
Steroidogenic factor 1,NR5A1,Q13285,CHEMBL4666,Nuclear receptor,0.100578902067,11 /  0     ,NA,NA
Neuropilin-1   (by homology),NRP1,O14786,CHEMBL5174,Secreted protein,0.0604245879294,0 /  1     ,NA,NA
Nerve growth factor receptor Trk-A,NTRK1,P04629,CHEMBL2815,Kinase,0.109339753231,64 /  0     ,NA,NA
Neurotrophic tyrosine kinase receptor type 2,NTRK2,Q16620,CHEMBL4898,Kinase,0.198443988437,1 /  1     ,NA,NA
Neurotensin receptor 1   (by homology),NTSR1,P30989,CHEMBL4123,Family A G protein-coupled receptor,0.0604245879294,0 /  78     ,NA,NA
Neurotensin receptor 2,NTSR2,O95665,CHEMBL2514,Family A G protein-coupled receptor,0.0604245879294,0 /  32     ,NA,NA
NUAK family SNF1-like kinase 1,NUAK1,O60285,CHEMBL5784,Kinase,0.0579568757034,0 /  1     ,NA,NA
"7,8-dihydro-8-oxoguanine triphosphatase",NUDT1,P36639,CHEMBL3708265,Enzyme,0.0238327432783,4 /  0     ,NA,NA
"Ornithine aminotransferase, mitochondrial",OAT,P04181,CHEMBL5954,Enzyme,0.033970689612,1 /  0     ,NA,NA
Ornithine decarboxylase,ODC1,P11926,CHEMBL1869,Lyase,0.0972399887602,0 /  6     ,NA,NA
Bifunctional protein NCOAT,OGA,O60502,CHEMBL5921,Enzyme,0.0428942118511,3 /  0     ,NA,NA
Delta opioid receptor,OPRD1,P41143,CHEMBL236,Family A G protein-coupled receptor,0.0428381527054,131 /  0     ,NA,NA
Kappa Opioid receptor,OPRK1,P41145,CHEMBL237,Family A G protein-coupled receptor,0.0238327432783,0 /  62     ,NA,NA
Nociceptin receptor,OPRL1,P41146,CHEMBL2014,Family A G protein-coupled receptor,0.0238327432783,0 /  72     ,NA,NA
Mu opioid receptor,OPRM1,P35372,CHEMBL233,Family A G protein-coupled receptor,0.0238327432783,0 /  121     ,NA,NA
Oxoeicosanoid receptor 1,OXER1,Q8TDS5,CHEMBL1628461,Family A G protein-coupled receptor,0.0428942118511,2 /  0     ,NA,NA
Serine/threonine-protein kinase OSR1,OXSR1,O95747,CHEMBL1163104,Kinase,0.0822215166115,2 /  0     ,NA,NA
Oxytocin receptor,OXTR,P30559,CHEMBL2049,Family A G protein-coupled receptor,0.0312265582077,5 /  0     ,NA,NA
P2X purinoceptor 3,P2RX3,P56373,CHEMBL2998,Ligand-gated ion channel,0.0312265582077,33 /  0     ,NA,NA
P2X purinoceptor 7,P2RX7,Q99572,CHEMBL4805,Ligand-gated ion channel,0.104671941128,562 /  0     ,NA,NA
Putative P2Y purinoceptor 10,P2RY10,O00398,CHEMBL3562166,Family A G protein-coupled receptor,0.112041901328,0 /  40     ,NA,NA
Purinergic receptor P2Y12,P2RY12,Q9H244,CHEMBL2001,Family A G protein-coupled receptor,0.104671941128,88 /  0     ,NA,NA
Hypoxia-inducible factor prolyl 4-hydroxylase,P4HTM,Q9NXG6,CHEMBL3047,Enzyme,0.0238327432783,2 /  0     ,NA,NA
Polyadenylate-binding protein 1,PABPC1,P11940,CHEMBL1293286,Unclassified protein,0.0604245879294,11 /  0     ,NA,NA
Peptidyl-glycine alpha-amidating monooxygenase,PAM,P19021,CHEMBL2544,Enzyme,0.0312265582077,3 /  0     ,NA,NA
Polyamine oxidase,PAOX,Q6QHF9,CHEMBL2105,Enzyme,0.0238327432783,2 /  0     ,NA,NA
Poly [ADP-ribose] polymerase-1,PARP1,P09874,CHEMBL3105,Enzyme,0.0238327432783,44 /  0     ,NA,NA
Poly [ADP-ribose] polymerase 10,PARP10,Q53GL7,CHEMBL2429708,Enzyme,0.0428942118511,5 /  0     ,NA,NA
Poly [ADP-ribose] polymerase 15,PARP15,Q460N3,CHEMBL2176778,Enzyme,0.112041901328,2 /  0     ,NA,NA
Poly [ADP-ribose] polymerase 2   (by homology),PARP2,Q9UGN5,CHEMBL5366,Enzyme,0.0312265582077,4 /  1     ,NA,NA
Subtilisin/kexin type 6,PCSK6,P29122,CHEMBL2951,Protease,0.0604245879294,0 /  10     ,NA,NA
Subtilisin/kexin type 7,PCSK7,Q16549,CHEMBL2232,Protease,0.100634432184,1 /  0     ,NA,NA
Phosphodiesterase 10A   (by homology),PDE10A,Q9Y233,CHEMBL4409,Phosphodiesterase,0.0312265582077,222 /  0     ,NA,NA
Phosphodiesterase 1A,PDE1A,P54750,CHEMBL3421,Phosphodiesterase,0.100578902067,5 /  0     ,NA,NA
Phosphodiesterase 1B,PDE1B,Q01064,CHEMBL4425,Phosphodiesterase,0.100578902067,7 /  0     ,NA,NA
Phosphodiesterase 1C,PDE1C,Q14123,CHEMBL4619,Phosphodiesterase,0.100578902067,10 /  0     ,NA,NA
Phosphodiesterase 2A,PDE2A,O00408,CHEMBL2652,Phosphodiesterase,0.0822215166115,81 /  0     ,NA,NA
Phosphodiesterase 4A,PDE4A,P27815,CHEMBL254,Phosphodiesterase,0.0428942118511,11 /  0     ,NA,NA
Phosphodiesterase 4B,PDE4B,Q07343,CHEMBL275,Phosphodiesterase,0.041891066893,90 /  0     ,NA,NA
Phosphodiesterase 4C,PDE4C,Q08493,CHEMBL291,Phosphodiesterase,0.0535560755162,11 /  0     ,NA,NA
Phosphodiesterase 4D,PDE4D,Q08499,CHEMBL288,Phosphodiesterase,0.041891066893,30 /  0     ,NA,NA
Phosphodiesterase 5A,PDE5A,O76074,CHEMBL1827,Phosphodiesterase,0.0428381527054,180 /  0     ,NA,NA
Phosphodiesterase 6A,PDE6A,P16499,CHEMBL3878,Phosphodiesterase,0.041891066893,26 /  0     ,NA,NA
Phosphodiesterase 6D,PDE6D,O43924,CHEMBL3860,Phosphodiesterase,0.041891066893,1 /  0     ,NA,NA
Phosphodiesterase 7A,PDE7A,Q13946,CHEMBL3012,Phosphodiesterase,0.0428942118511,10 /  0     ,NA,NA
Phosphodiesterase 8B,PDE8B,O95263,CHEMBL4408,Phosphodiesterase,0.112041901328,1 /  0     ,NA,NA
Phosphodiesterase 9A,PDE9A,O76083,CHEMBL3535,Phosphodiesterase,0.0428942118511,2 /  0     ,NA,NA
Peptide deformylase mitochondrial,PDF,Q9HBH1,CHEMBL4647,Enzyme,0.0604245879294,0 /  21     ,NA,NA
Platelet-derived growth factor receptor alpha,PDGFRA,P16234,CHEMBL2007,Kinase,0.0238327432783,0 /  2     ,NA,NA
Platelet-derived growth factor receptor,PDGFRA PDGFRB,P16234 P09619,CHEMBL2095189,Kinase,0.0312265582077,0 /  3     ,NA,NA
Platelet-derived growth factor receptor beta,PDGFRB,P09619,CHEMBL1913,Kinase,0.0579568757034,0 /  1     ,NA,NA
Pyruvate dehydrogenase kinase isoform 1,PDK1,Q15118,CHEMBL4766,Kinase,0.0972399887602,176 /  0     ,NA,NA
3-phosphoinositide dependent protein kinase-1,PDPK1,O15530,CHEMBL2534,Kinase,0.041891066893,69 /  0     ,NA,NA
Xaa-Pro dipeptidase,PEPD,P12955,CHEMBL4185,Protease,0.0238327432783,1 /  0     ,NA,NA
Period circadian protein homolog 2,PER2,O15055,CHEMBL3751648,Unclassified protein,0.0604245879294,37 /  0     ,NA,NA
"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3",PFKFB3,Q16875,CHEMBL2331053,Enzyme,0.0428381527054,32 /  0     ,NA,NA
Pepsin A,PGA5,P0DJD9,CHEMBL3295,Protease,0.041891066893,7 /  0     ,NA,NA
Pepsinogen C,PGC,P20142,CHEMBL2136,Protease,0.041891066893,3 /  0     ,NA,NA
6-phosphogluconate dehydrogenase,PGD,P52209,CHEMBL3404,Enzyme,0.0439186325197,0 /  5     ,NA,NA
Placenta growth factor,PGF,P49763,CHEMBL1697671,Unclassified protein,0.0978745343258,0 /  3     ,NA,NA
Phosphoglycerate kinase 1,PGK1,P00558,CHEMBL2886,Enzyme,0.106165761464,8 /  0     ,NA,NA
Progesterone receptor,PGR,P06401,CHEMBL208,Nuclear receptor,0.0238327432783,0 /  16     ,NA,NA
Histone lysine demethylase PHF8,PHF8,Q9UPP1,CHEMBL1938212,Eraser,0.0238327432783,0 /  1     ,NA,NA
PH domain leucine-rich repeat-containing protein phosphatase 2,PHLPP2,Q6ZVD8,CHEMBL1275209,Enzyme,0.0604245879294,1 /  0     ,NA,NA
PI4-kinase beta subunit,PI4KB,Q9UBF8,CHEMBL3268,Enzyme,0.0535560755162,45 /  0     ,NA,NA
Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing beta polypeptide,PIK3C2B,O00750,CHEMBL5554,Enzyme,0.101613854776,4 /  0     ,NA,NA
Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing subunit gamma,PIK3C2G,O75747,CHEMBL1163120,Enzyme,0.104671941128,2 /  0     ,NA,NA
PI3-kinase p110-alpha subunit,PIK3CA,P42336,CHEMBL4005,Enzyme,0.041891066893,477 /  0     ,NA,NA
PI3-kinase p110-alpha/p85-alpha,PIK3CA PIK3R1,P42336 P27986,CHEMBL2111367,Enzyme,0.0238327432783,1 /  0     ,NA,NA
PI3-kinase p110-beta subunit,PIK3CB,P42338,CHEMBL3145,Enzyme,0.041891066893,96 /  0     ,NA,NA
PI3-kinase p110-delta subunit,PIK3CD,O00329,CHEMBL3130,Enzyme,0.041891066893,116 /  0     ,NA,NA
PI3-kinase p110-gamma subunit,PIK3CG,P48736,CHEMBL3267,Enzyme,0.041891066893,120 /  0     ,NA,NA
PI3-kinase p85-alpha subunit,PIK3R1,P27986,CHEMBL2506,Enzyme,0.0535560755162,1 /  0     ,NA,NA
Serine/threonine-protein kinase PIM1,PIM1,P11309,CHEMBL2147,Kinase,0.0428942118511,17 /  0     ,NA,NA
Serine/threonine-protein kinase PIM2,PIM2,Q9P1W9,CHEMBL4523,Kinase,0.0312265582077,12 /  0     ,NA,NA
Serine/threonine-protein kinase PIM3,PIM3,Q86V86,CHEMBL5407,Kinase,0.0604245879294,10 /  0     ,NA,NA
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,PIN1,Q13526,CHEMBL2288,Enzyme,0.0428942118511,32 /  0     ,NA,NA
Phosphatidylinositol-5-phosphate 4-kinase type-2 gamma,PIP4K2C,Q8TBX8,CHEMBL1770034,Enzyme,0.104671941128,4 /  0     ,NA,NA
Phosphatidylinositol-4-phosphate 5-kinase type-1 gamma,PIP5K1C,O60331,CHEMBL1908383,Enzyme,0.104671941128,1 /  0     ,NA,NA
"Presequence protease, mitochondrial",PITRM1,Q5JRX3,CHEMBL3124731,Enzyme,0.109339753231,2 /  0     ,NA,NA
Protein kinase N1,PKN1,Q16512,CHEMBL3384,Kinase,0.0978745343258,2 /  3     ,NA,NA
Group X secretory phospholipase A2,PLA2G10,O15496,CHEMBL4342,Enzyme,0.0972399887602,0 /  1     ,NA,NA
Phospholipase A2 group 1B,PLA2G1B,P04054,CHEMBL4426,Enzyme,0.0626219668353,21 /  1     ,NA,NA
Phospholipase A2 group IIA,PLA2G2A,P14555,CHEMBL3474,Enzyme,0.0312265582077,0 /  64     ,NA,NA
Cytosolic phospholipase A2,PLA2G4A,P47712,CHEMBL3816,Enzyme,0.0535560755162,62 /  0     ,NA,NA
Phospholipase A2 group V,PLA2G5,P39877,CHEMBL4323,Enzyme,0.033970689612,0 /  3     ,NA,NA
LDL-associated phospholipase A2,PLA2G7,Q13093,CHEMBL3514,Enzyme,0.0535560755162,23 /  0     ,NA,NA
Phospholipase A-2-activating protein,PLAA,Q9Y263,CHEMBL6114,Unclassified protein,0.0428942118511,10 /  0     ,NA,NA
Tissue-type plasminogen activator,PLAT,P00750,CHEMBL1873,Protease,0.100578902067,17 /  0     ,NA,NA
Urokinase-type plasminogen activator,PLAU,P00749,CHEMBL3286,Protease,0.0604245879294,4 /  0     ,NA,NA
Plectin,PLEC,Q15149,CHEMBL1293240,Unclassified protein,0.0535560755162,3 /  0     ,NA,NA
Plasminogen,PLG,P00747,CHEMBL1801,Protease,0.0238327432783,1 /  1     ,NA,NA
Serine/threonine-protein kinase PLK1,PLK1,P53350,CHEMBL3024,Kinase,0.048952897826,1 /  2     ,NA,NA
Serine/threonine-protein kinase PLK4,PLK4,O00444,CHEMBL3788,Kinase,0.0535560755162,16 /  0     ,NA,NA
Phenylethanolamine N-methyltransferase,PNMT,P11086,CHEMBL4617,Enzyme,0.048952897826,10 /  0     ,NA,NA
Purine nucleoside phosphorylase   (by homology),PNP,P00491,CHEMBL4338,Enzyme,0.0428942118511,32 /  0     ,NA,NA
DNA polymerase alpha subunit,POLA1,P09884,CHEMBL1828,Transferase,0.0312265582077,0 /  15     ,NA,NA
DNA polymerase beta   (by homology),POLB,P06746,CHEMBL2392,Enzyme,0.0238327432783,0 /  2     ,NA,NA
Serum paraoxonase/arylesterase 1,PON1,P27169,CHEMBL3167,Enzyme,0.0978745343258,0 /  1     ,NA,NA
Peroxisome proliferator-activated receptor alpha   (by homology),PPARA,Q07869,CHEMBL239,Nuclear receptor,0.0312265582077,17 /  0     ,NA,NA
Peroxisome proliferator-activated receptor delta   (by homology),PPARD,Q03181,CHEMBL3979,Nuclear receptor,0.0312265582077,0 /  9     ,NA,NA
Peroxisome proliferator-activated receptor gamma,PPARG,P37231,CHEMBL235,Nuclear receptor,0.0312265582077,0 /  12     ,NA,NA
Cyclophilin A,PPIA,P62937,CHEMBL1949,Isomerase,0.0428381527054,6 /  0     ,NA,NA
Protein phosphatase 2C alpha,PPM1A,P35813,CHEMBL2437,Phosphatase,0.0717871625222,0 /  1     ,NA,NA
Protein phosphatase 2C beta,PPM1B,O75688,CHEMBL2845,Phosphatase,0.0822215166115,0 /  1     ,NA,NA
Serine/threonine protein phosphatase PP1-alpha catalytic subunit,PPP1CA,P62136,CHEMBL2164,Phosphatase,0.112041901328,5 /  0     ,NA,NA
Serine/threonine protein phosphatase PP1-gamma catalytic subunit,PPP1CC,P36873,CHEMBL4438,Phosphatase,0.0743922719035,0 /  3     ,NA,NA
"Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform",PPP2CA,P67775,CHEMBL4703,Phosphatase,0.0743922719035,0 /  8     ,NA,NA
"Serine/threonine protein phosphatase 2A, 56 kDa regulatory subunit, alpha isoform",PPP2R5A,Q15172,CHEMBL4763,Phosphatase,0.0822215166115,0 /  1     ,NA,NA
"Serine/threonine protein phosphatase 2B catalytic subunit, alpha isoform",PPP3CA,Q08209,CHEMBL4445,Phosphatase,0.041891066893,12 /  0     ,NA,NA
Serine/threonine-protein phosphatase,PPP5C,Q9BPW0,CHEMBL1293265,Phosphatase,0.112041901328,3 /  0     ,NA,NA
Prolyl endopeptidase,PREP,P48147,CHEMBL3202,Protease,0.0535560755162,24 /  0     ,NA,NA
Perforin-1,PRF1,P14222,CHEMBL5480,Other ion channel,0.109339753231,14 /  0     ,NA,NA
"AMP-activated protein kinase, beta-1 subunit",PRKAB1,Q9Y478,CHEMBL3847,Kinase,0.0428942118511,1 /  0     ,NA,NA
cAMP-dependent protein kinase alpha-catalytic subunit,PRKACA,P17612,CHEMBL4101,Kinase,0.0428942118511,1 /  0     ,NA,NA
AMPK alpha2/beta1/gamma1,PRKAG1 PRKAB1 PRKAA2,P54619 Q9Y478 P54646,CHEMBL3038455,Kinase,0.100578902067,9 /  0     ,NA,NA
Protein kinase C alpha,PRKCA,P17252,CHEMBL299,Kinase,0.0238327432783,0 /  5     ,NA,NA
Protein kinase C beta,PRKCB,P05771,CHEMBL3045,Kinase,0.041891066893,87 /  0     ,NA,NA
Protein kinase C delta,PRKCD,Q05655,CHEMBL2996,Kinase,0.041891066893,35 /  0     ,NA,NA
Protein kinase C epsilon,PRKCE,Q02156,CHEMBL3582,Kinase,0.041891066893,18 /  0     ,NA,NA
Protein kinase C gamma,PRKCG,P05129,CHEMBL2938,Kinase,0.0604245879294,14 /  0     ,NA,NA
Protein kinase C eta,PRKCH,P24723,CHEMBL3616,Kinase,0.041891066893,10 /  0     ,NA,NA
Protein kinase C theta,PRKCQ,Q04759,CHEMBL3920,Kinase,0.041891066893,23 /  0     ,NA,NA
Protein kinase C mu,PRKD1,Q15139,CHEMBL3863,Kinase,0.041891066893,19 /  0     ,NA,NA
Protein kinase C (PKC),PRKD3,O94806,CHEMBL2595,Kinase,0.104671941128,1 /  0     ,NA,NA
DNA-dependent protein kinase,PRKDC,P78527,CHEMBL3142,Kinase,0.0535560755162,113 /  0     ,NA,NA
Protein-arginine N-methyltransferase 1,PRMT1,Q99873,CHEMBL5524,Writer,0.0619466223505,1 /  1     ,NA,NA
Serine/threonine-protein kinase PRP4 homolog,PRPF4B,Q13523,CHEMBL1908382,Enzyme,0.0822215166115,3 /  0     ,NA,NA
Trypsin I,PRSS1,P07477,CHEMBL209,Protease,0.100578902067,25 /  0     ,NA,NA
Presenilin 1,PSEN1,P49768,CHEMBL2473,Other ion channel,0.104671941128,5 /  0     ,NA,NA
Gamma-secretase,PSEN2 PSENEN NCSTN APH1A PSEN1 APH1B,P49810 Q9NZ42 Q92542 Q96BI3 P49768 Q8WW43,CHEMBL2094135,Protease,0.0312265582077,75 /  0     ,NA,NA
26S proteosome,PSMB1,P20618,CHEMBL4208,Protease,0.0312265582077,1 /  0     ,NA,NA
Proteasome Macropain subunit,PSMB2,P49721,CHEMBL3492,Protease,0.0312265582077,1 /  0     ,NA,NA
Proteasome Macropain subunit MB1,PSMB5,P28074,CHEMBL4662,Protease,0.0312265582077,7 /  0     ,NA,NA
Platelet activating factor receptor,PTAFR,P25105,CHEMBL250,Family A G protein-coupled receptor,0.0428942118511,0 /  12     ,NA,NA
Prostanoid DP receptor,PTGDR,Q13258,CHEMBL4427,Family A G protein-coupled receptor,0.0312265582077,2 /  0     ,NA,NA
G protein-coupled receptor 44,PTGDR2,Q9Y5Y4,CHEMBL5071,Family A G protein-coupled receptor,0.0312265582077,14 /  0     ,NA,NA
Prostanoid EP1 receptor,PTGER1,P34995,CHEMBL1811,Family A G protein-coupled receptor,0.0439186325197,0 /  3     ,NA,NA
Prostanoid EP2 receptor,PTGER2,P43116,CHEMBL1881,Family A G protein-coupled receptor,0.0238327432783,0 /  1     ,NA,NA
Prostanoid EP3 receptor,PTGER3,P43115,CHEMBL3710,Family A G protein-coupled receptor,0.0312265582077,0 /  2     ,NA,NA
